"genre" "spec" "secteur" "nbpatients" "moins16" "60a69" "plus70" "honor"
"Femme" "Médicale" "1" 1883 17.37 9.77 14.02 75.73
"Homme" "Médicale" "1" 3127 4.86 8.67 11.26 206.31
"Femme" "Médicale" "1" 1666 18.01 6.72 7.68 65.73
"Homme" "Médicale" "1" 1355 8.12 18.45 36.97 105.01
"Homme" "Mixte" "1" 6952 13.12 15.45 24.76 219.43
"Femme" "Médicale" "1" 459 70.37 2.18 3.27 38.35
"Homme" "Médicale" "1" 3167 0.13 41.93 30.75 191.18
"Homme" "Chirurgicale" "2" 836 0.6 18.54 29.19 122.43
"Homme" "Médicale" "2" 2495 66.49 0.28 1.08 172.68
"Homme" "Médicale" "1" 3299 0.94 21.55 37.62 273.12
"Homme" "Médicale" "2" 2298 1.17 15.49 14.32 142.5
"Femme" "Médicale" "1" 1835 8.23 15.31 25.56 146.48
"Femme" "Médicale" "1" 1585 3.22 23.53 28.83 137.69
"Femme" "Médicale" "1" 1024 0.78 22.66 52.15 71.66
"Homme" "Chirurgicale" "2" 1012 10.08 9.49 16.21 149.65
"Homme" "Mixte" "1" 1463 22.83 17.84 15.24 92.29
"Homme" "Médicale" "1" 1782 14.7 12.07 25.65 167.56
"Homme" "Chirurgicale" "1" 1799 11.84 17.07 23.62 221.86
"Homme" "Médicale" "1" 2410 0.75 24.36 40.91 200.5
"Homme" "Médicale" "1" 1882 1.12 23.7 50.11 177.07
"Homme" "Médicale" "1" 1944 82.2 0.1 1.75 111.28
"Homme" "Médicale" "1" 518 0.58 9.07 6.37 144.86
"Homme" "Mixte" "1" 3817 18.18 14.83 20.2 262.21
"Homme" "Mixte" "1" 4739 13.32 15.02 23.09 166.86
"Homme" "Médicale" "1" 1450 4.14 20.21 26.76 107.54
"Homme" "Médicale" "1" 6846 9.26 9.79 16.67 577.92
"Femme" "Mixte" "1" 1451 2.14 3.31 3.17 90.06
"Homme" "Mixte" "1" 2623 18.22 13.72 19.63 169.94
"Femme" "Médicale" "1" 1594 8.41 6.78 7.34 71.61
"Homme" "Chirurgicale" "2" 860 0.12 16.98 36.74 207.6
"Homme" "Médicale" "1" 6124 11.32 13.9 25.34 585.22
"Homme" "Médicale" "1" 793 2.52 21.06 26.48 92.62
"Homme" "Médicale" "1" 6165 8.16 16.95 15.47 563.51
"Homme" "Chirurgicale" "1" 1020 4.71 19.8 26.37 170.46
"Homme" "Médicale" "1" 3318 2.26 23.21 27.12 952.92
"Homme" "Médicale" "1" 2840 18.17 10.67 13.63 93.62
"Femme" "Médicale" "1" 1374 2.62 21.69 40.03 144.13
"Homme" "Médicale" "1" 779 2.57 17.07 37.87 84.66
"Homme" "Mixte" "2" 2382 1.81 6.68 5.16 251.94
"Homme" "Médicale" "1" 99 3.03 4.04 2.02 29.11
"Homme" "Médicale" "1" 4252 10.58 13.03 32.5 448.89
"Femme" "Médicale" "1" 283 4.24 10.25 9.89 63.4
"Homme" "Mixte" "1" 1339 12.92 30.4 22.03 72.04
"Homme" "Médicale" "1" 2151 7.48 13.02 22.41 154.5
"Homme" "Médicale" "1" 1819 0.88 18.64 40.02 180.41
"Femme" "Médicale" "1" 233 23.18 3.43 2.15 57.73
"Homme" "Médicale" "1" 473 0.21 24.1 37.63 918.98
"Femme" "Médicale" "1" 1459 10.42 13.3 17.89 81.71
"Homme" "Médicale" "1" 380 0.79 17.11 16.32 83.67
"Homme" "Médicale" "1" 3014 4.61 11.31 15.13 186.58
"Homme" "Chirurgicale" "2" 1444 7.55 7.83 8.86 228.72
"Homme" "Mixte" "1" 3941 14.92 12.31 14.82 120.01
"Homme" "Médicale" "1" 5888 12.11 14.72 21.16 456.65
"Homme" "Chirurgicale" "2" 2008 16.19 8.81 15.14 199.1
"Homme" "Mixte" "1" 217 2.3 1.84 2.76 16.92
"Homme" "Médicale" "1" 873 2.29 14.43 16.95 143.79
"Homme" "Médicale" "1" 633 1.11 10.74 6 150.76
"Homme" "Médicale" "1" 643 1.87 23.79 42.3 84.24
"Homme" "Médicale" "1" 1770 1.41 20.56 23.33 170.64
"Femme" "Médicale" "1" 1180 6.78 18.81 35.34 148.89
"Femme" "Médicale" "1" 555 71.89 0.36 0.36 78.14
"Homme" "Médicale" "1" 2375 3.28 23.12 28.72 174.61
"Femme" "Mixte" "1" 5714 10.73 13.65 19.5 165.61
"Homme" "Médicale" "1" 902 0.55 18.85 63.53 173.91
"Femme" "Médicale" "1" 2016 0.6 17.91 30.41 194.85
"Homme" "Médicale" "2" 591 1.35 16.75 12.69 83.38
"Homme" "Médicale" "1" 2275 4.35 14.9 26.24 171.26
"Femme" "Mixte" "1" 3698 26.66 8.25 10.57 100.49
"Homme" "Médicale" "1" 119 4.2 5.04 2.52 43.9
"Homme" "Chirurgicale" "1" 553 0.18 27.85 47.2 179.64
"Femme" "Médicale" "1" 706 12.04 15.86 36.26 42.94
"Homme" "Médicale" "2" 986 3.25 11.76 18.26 158.92
"Femme" "Mixte" "1" 1467 1.64 6.2 3.95 70.21
"Homme" "Médicale" "1" 1474 1.09 25.78 45.93 150.46
"Femme" "Médicale" "1" 858 6.76 5.48 3.38 266.19
"Homme" "Médicale" "1" 1200 1.33 27.75 39.83 768.3
"Homme" "Médicale" "2" 3894 10.81 10.07 11.2 160.95
"Homme" "Médicale" "1" 438 1.6 4.11 4.57 63.26
"Femme" "Médicale" "1" 355 0.56 1.97 5.35 75.19
"Homme" "Médicale" "1" 7846 15.23 11.89 18.34 729.76
"Homme" "Médicale" "1" 1325 72.15 0.38 2.04 88.24
"Homme" "Chirurgicale" "2" 2127 4.89 16.13 12.88 323.17
"Homme" "Chirurgicale" "1" 616 8.44 15.1 29.22 114.59
"Femme" "Mixte" "1" 2706 18.81 13.49 18.37 99.43
"Homme" "Mixte" "2" 2293 22.68 14.39 13.17 250.33
"Homme" "Mixte" "2" 3815 23.67 10.3 10.22 332.83
"Homme" "Médicale" "1" 2513 0.56 18.54 39.08 207.49
"Femme" "Médicale" "1" 2590 10.19 9.07 12.28 79.61
